borrower_id,borrower_name,institute_id,institute_name,city,state,nirf_rank,nirf_score,institute_tier,course,applicant_origin,gpa_scale,raw_gpa,normalized_cgpa_10,backlogs,internships,certifications,job_portal_activity,interview_count,placement_cell_index,sector_demand_index,historical_course_placement_rate,loan_amount_lakh,moratorium_days_left,placed_3m,placed_6m,placed_12m,actual_salary_lpa,early_delinquency
B000028,Nitin Mishra,IR-E-C-6379,Netaji Subhas University of Technology,Delhi,Delhi,57,51.52,2,btech_cse,indian,10,6.51,6.51,0,1,4,0.291,0,0.355,0.67,0.771,17.46,119,0,0,1,6.83,0
B000029,Kushal Kulkarni,IR-E-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,6,76.0,1,mba,indian,10,7.37,7.37,0,0,6,0.373,0,0.609,0.609,0.912,28.93,95,0,1,1,12.01,0
B000030,Vipul Verma,IR-E-C-19754,SR University,Warangal,Telangana,98,44.29,3,mba,foreign,4,2.82,7.05,0,0,2,0.523,0,0.435,0.591,0.62,27.59,178,0,1,1,5.05,0
B000031,Ashwin Lal,IR-E-U-0334,Visvesvaraya National Institute of Technology Nagpur,Nagpur,Maharashtra,39,57.89,2,commerce_arts,indian,10,7.03,7.03,0,0,0,0.702,3,0.42,0.712,0.715,19.76,170,0,1,1,2.66,1
B000032,Mohan Malik,IR-E-C-19754,SR University,Warangal,Telangana,98,44.29,3,mba,indian,4,3.15,7.87,0,0,0,0.679,2,0.347,0.558,0.568,20.16,135,0,0,1,7.82,0
B000033,Parisha Khanna,IR-E-U-0577,National Institute of Technology Durgapur,Durgapur,West Bengal,44,56.26,2,mba,indian,10,8.63,8.63,0,1,2,0.512,4,0.437,0.538,0.843,23.38,194,1,1,1,10.5,0
B000034,Padma Lal,IR-E-U-0202,Birla Institute of Technology,Ranchi,Jharkhand,48,54.18,2,btech_cse,indian,10,8.02,8.02,0,3,3,0.904,2,0.498,0.646,0.682,13.36,86,1,1,1,10.96,0
B000035,Maitri Dutta,IR-E-U-0584,Indian Institute of Engineering Science and Technology Shibpur,Howrah,West Bengal,49,54.17,2,core_engineering,indian,10,6.81,6.81,2,1,0,0.463,2,0.375,0.705,0.563,17.4,15,0,1,1,2.62,1
B000036,Vipul Chaurasia,IR-E-C-7252,Manipal Institute of Technology,Manipal,Karnataka,56,52.12,2,btech_cse,indian,4,2.43,6.08,1,3,5,0.675,3,0.543,0.847,0.72,13.29,230,1,1,1,6.1,0
B000037,Rohit Laxminarayan,IR-E-U-0530,Motilal Nehru National Institute of Technology,Prayagraj,Uttar Pradesh,60,50.65,2,mba,indian,10,6.84,6.84,0,1,3,0.627,1,0.616,0.668,0.76,14.39,216,1,1,1,7.48,0
B000038,Hemant Nair,IR-E-U-0149,Sardar Vallabhbhai National Institute of Technology,Surat,Gujarat,59,51.04,2,mba,indian,10,6.4,6.4,0,0,2,0.466,0,0.482,0.786,0.846,20.24,195,0,0,1,5.86,1
B000039,Geeta Reddy,IR-E-U-0306,Indian Institute of Technology Bombay,Mumbai,Maharashtra,3,83.09,1,commerce_arts,indian,10,8.32,8.32,0,2,1,0.96,6,0.794,0.341,0.807,13.15,174,0,1,1,7.25,0
B000040,Parisha Namboothiri,IR-E-U-0202,Birla Institute of Technology,Ranchi,Jharkhand,48,54.18,2,commerce_arts,indian,10,6.0,6.0,0,3,1,0.707,4,0.357,0.169,0.473,16.67,22,0,1,1,4.39,1
B000041,Priya Kapoor,IR-E-U-0621,National Institute of Technology Puducherry,Karaikal,Pondicherry,97,44.38,3,btech_cse,indian,4,2.5,6.24,0,1,2,0.481,2,0.403,0.736,0.756,4.0,188,0,0,1,4.8,0
B000042,Muneesh Mahanti,IR-E-U-0577,National Institute of Technology Durgapur,Durgapur,West Bengal,44,56.26,2,btech_cse,indian,10,7.39,7.39,1,0,0,0.395,4,0.468,0.639,0.671,10.94,205,0,0,0,0.0,0
B000043,Padma Mehta,IR-E-U-0564,UPES,Dehradun,Uttarakhand,42,56.65,2,btech_cse,indian,10,6.99,6.99,0,0,2,0.452,2,0.596,0.925,0.82,18.66,48,1,1,1,7.12,0
B000044,Nikhil Reddy,IR-E-U-0255,Indian Institute of Space Science and Technology,Thiruvananthapuram,Kerala,51,53.13,2,commerce_arts,indian,10,7.7,7.7,0,0,2,0.239,0,0.525,0.414,0.57,23.7,200,0,0,0,0.0,1
B000045,Milan Bhat,IR-E-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,6,76.0,1,btech_cse,indian,10,8.1,8.1,0,1,4,0.423,3,0.554,0.75,0.96,15.44,171,1,1,1,11.76,0
B000046,Arya Bhindal,IR-E-U-0467,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,9,66.88,1,btech_cse,indian,10,8.45,8.45,0,0,3,0.529,0,0.464,0.816,0.905,21.27,40,0,1,1,9.14,0
B000047,Karan Menon,IR-E-C-7252,Manipal Institute of Technology,Manipal,Karnataka,56,52.12,2,btech_cse,indian,10,8.09,8.09,0,0,3,0.829,4,0.332,0.77,0.685,8.76,20,0,1,1,8.39,0
B000048,Jeet Krishnan,IR-E-C-30045,C V Raman Global University Odisha,Bhubaneswar,Odisha,96,44.55,3,core_engineering,indian,10,6.98,6.98,0,0,5,0.799,1,0.419,0.365,0.602,10.02,106,0,1,1,2.83,0
B000049,Faisal Choudhury,IR-E-U-0373,Chitkara University,Rajpura,Punjab,94,44.82,3,mba,indian,10,7.48,7.48,0,0,1,0.633,0,0.298,0.562,0.702,15.6,137,1,1,1,5.46,0
B000050,Padma Hegde,IR-E-U-0202,Birla Institute of Technology,Ranchi,Jharkhand,48,54.18,2,btech_cse,indian,10,6.58,6.58,0,2,2,0.449,3,0.619,0.829,0.838,8.21,211,1,1,1,6.27,0
B000051,Mishti Dixit,IR-E-I-1441,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,53,52.85,2,btech_cse,indian,10,8.54,8.54,0,0,2,0.733,2,0.477,0.604,0.778,15.28,158,1,1,1,7.75,0
B000052,Kunal Malik,IR-E-I-1075,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,4,82.79,1,btech_cse,indian,10,7.77,7.77,0,4,4,0.642,6,0.59,0.622,0.96,5.8,224,1,1,1,11.24,0
B000053,Ishita Laxminarayan,IR-E-I-1074,Indian Institute of Technology Delhi,New Delhi,Delhi,2,86.66,1,core_engineering,indian,10,9.82,9.82,0,1,0,0.808,4,0.95,0.458,0.892,22.09,102,1,1,1,12.36,0
B000054,Hina Chaurasia,IR-E-U-0701,Indian Institute of Technology BHU Varanasi,Varanasi,Uttar Pradesh,10,66.69,1,core_engineering,indian,10,7.19,7.19,0,2,3,0.87,4,0.575,0.597,0.613,17.62,26,1,1,1,11.76,0
B000055,Kushal Masarrate,IR-E-U-0577,National Institute of Technology Durgapur,Durgapur,West Bengal,44,56.26,2,btech_cse,indian,10,8.02,8.02,0,1,4,0.538,0,0.38,0.839,0.701,16.16,34,1,1,1,7.42,1
B000056,Maitri Jain,IR-E-I-1074,Indian Institute of Technology Delhi,New Delhi,Delhi,2,86.66,1,core_engineering,indian,10,8.42,8.42,0,2,0,0.503,1,0.719,0.483,0.836,20.81,58,1,1,1,11.04,0
B000057,Karan Dutta,IR-E-U-0701,Indian Institute of Technology BHU Varanasi,Varanasi,Uttar Pradesh,10,66.69,1,btech_cse,indian,10,8.18,8.18,0,3,5,0.455,3,0.613,0.589,0.949,14.04,177,0,1,1,11.85,0
B000058,Komal Chopra,IR-E-U-0014,International Institute of Information Technology Hyderabad,Hyderabad,Telangana,47,54.29,2,btech_cse,indian,10,8.09,8.09,0,0,4,0.636,1,0.412,0.654,0.595,8.0,204,0,1,1,7.39,0
B000059,Bhavna Nair,IR-E-U-0701,Indian Institute of Technology BHU Varanasi,Varanasi,Uttar Pradesh,10,66.69,1,btech_cse,indian,10,7.88,7.88,0,2,3,0.511,3,0.548,0.71,0.812,19.92,119,1,1,1,8.96,0
B000060,Peeyush Mitra,IR-E-C-30045,C V Raman Global University Odisha,Bhubaneswar,Odisha,96,44.55,3,btech_cse,indian,10,8.14,8.14,0,0,4,0.667,2,0.557,0.683,0.615,16.22,36,0,0,1,8.2,0
B000061,Disha Murthy,IR-E-U-0373,Chitkara University,Rajpura,Punjab,94,44.82,3,mba,indian,10,7.44,7.44,0,0,0,0.666,1,0.357,0.783,0.575,15.7,204,1,1,1,6.18,0
B000062,Ishita Jain,IR-E-U-0490,Vellore Institute of Technology,Vellore,Tamil Nadu,11,66.22,1,core_engineering,indian,10,7.67,7.67,0,1,0,0.661,1,0.62,0.731,0.765,6.43,64,0,1,1,10.14,0
B000063,Mishti Iyengar,IR-E-U-0373,Chitkara University,Rajpura,Punjab,94,44.82,3,core_engineering,indian,10,6.7,6.7,1,1,0,0.939,4,0.456,0.341,0.58,8.02,146,0,1,1,4.05,1
B000064,Mishti Chaurasia,IR-E-I-1074,Indian Institute of Technology Delhi,New Delhi,Delhi,2,86.66,1,btech_cse,indian,10,8.63,8.63,0,2,3,0.67,1,0.805,0.747,0.96,14.2,227,1,1,1,14.36,0
B000065,Nisha Verma,IR-E-U-0701,Indian Institute of Technology BHU Varanasi,Varanasi,Uttar Pradesh,10,66.69,1,mba,indian,10,8.55,8.55,0,1,0,0.981,4,0.482,0.58,0.76,16.18,198,1,1,1,12.67,0
B000066,Nikhil Menon,IR-E-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,6,76.0,1,btech_cse,indian,10,9.18,9.18,0,1,3,0.259,0,0.69,0.742,0.941,12.54,202,1,1,1,11.97,0
B000067,Parvati Joshi,IR-E-U-0584,Indian Institute of Engineering Science and Technology Shibpur,Howrah,West Bengal,49,54.17,2,core_engineering,indian,4,2.71,6.77,0,2,2,0.761,3,0.545,0.623,0.694,11.14,94,0,1,1,4.95,1
B000068,Ashwin Mathew,IR-E-U-0379,Lovely Professional University,Phagwara,Punjab,50,54.16,2,btech_cse,indian,10,6.56,6.56,1,2,2,0.829,5,0.372,0.879,0.764,16.06,123,0,1,1,7.56,1
B000069,Leela Nair,IR-E-C-16604,Sri Sivasubramaniya Nadar College of Engineering,Kalavakkam,Tamil Nadu,46,55.01,2,mba,indian,10,7.15,7.15,0,1,0,0.79,2,0.741,0.543,0.848,21.24,108,1,1,1,7.65,0
B000070,Arjun Goyanka,IR-E-C-7252,Manipal Institute of Technology,Manipal,Karnataka,56,52.12,2,btech_cse,indian,10,6.48,6.48,1,0,1,0.733,1,0.485,0.564,0.674,13.07,181,1,1,1,8.75,0
B000071,Keya Lamba,IR-E-U-0013,Indian Institute of Technology Hyderabad,Hyderabad,Telangana,8,71.55,1,core_engineering,indian,10,7.04,7.04,0,2,1,0.82,3,0.572,0.1,0.844,4.84,96,0,1,1,6.12,1
B000072,Manoj Sharma,IR-E-U-0334,Visvesvaraya National Institute of Technology Nagpur,Nagpur,Maharashtra,39,57.89,2,btech_cse,foreign,4,2.98,7.46,0,0,2,0.348,0,0.579,0.713,0.817,12.77,116,1,1,1,7.43,1
B000073,Parvati Dasgupta,IR-E-U-0202,Birla Institute of Technology,Ranchi,Jharkhand,48,54.18,2,mba,indian,10,8.37,8.37,0,0,1,0.758,1,0.521,0.558,0.774,20.03,57,1,1,1,11.51,0
B000074,Kavya Khanna,IR-E-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,6,76.0,1,core_engineering,indian,10,7.76,7.76,1,1,1,0.738,2,0.604,0.259,0.676,11.1,159,1,1,1,8.85,0
B000075,Niyati Mookerjee,IR-E-U-0308,Institute of Chemical Technology,Mumbai,Maharashtra,41,56.93,2,mba,indian,4,2.45,6.13,0,0,2,0.622,0,0.371,0.633,0.806,22.34,133,0,0,0,0.0,0
B000076,Geeta Merchant,IR-E-I-1441,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,53,52.85,2,mba,indian,10,8.41,8.41,0,2,2,0.76,6,0.413,0.312,0.832,25.49,162,1,1,1,11.38,0
B000077,Akshay Dey,IR-E-U-0149,Sardar Vallabhbhai National Institute of Technology,Surat,Gujarat,59,51.04,2,commerce_arts,indian,4,2.91,7.28,0,2,2,0.783,4,0.366,0.204,0.584,17.04,240,1,1,1,5.18,0
B000078,Nisha Luthra,IR-E-U-0255,Indian Institute of Space Science and Technology,Thiruvananthapuram,Kerala,51,53.13,2,btech_cse,indian,10,7.38,7.38,0,4,2,0.779,6,0.467,0.75,0.691,21.78,65,1,1,1,10.9,0
B000079,Muneesh Iyer,IR-E-U-0373,Chitkara University,Rajpura,Punjab,94,44.82,3,mba,indian,10,7.03,7.03,0,0,4,0.531,0,0.494,0.65,0.587,14.92,223,1,1,1,5.44,0
B000080,Ojas Nanda,IR-E-I-1074,Indian Institute of Technology Delhi,New Delhi,Delhi,2,86.66,1,btech_cse,indian,4,3.38,8.46,0,2,4,0.783,0,0.764,0.738,0.923,18.62,161,0,1,1,12.42,0
B000081,Narmada Nanda,IR-E-U-0355,Indian Institute of Technology Bhubaneswar,Bhubaneswar,Odisha,54,52.54,2,commerce_arts,indian,10,7.75,7.75,0,1,0,0.893,1,0.464,0.473,0.733,11.44,212,0,0,0,0.0,1
B000082,Jatin Lakhanpal,IR-E-U-0374,Dr B R Ambedkar National Institute of Technology Jalandhar,Jalandhar,Punjab,58,51.11,2,btech_cse,indian,4,3.5,8.75,0,0,0,0.322,0,0.248,0.616,0.734,9.95,161,0,0,0,0.0,0
B000083,Arya Luthra,IR-E-C-16604,Sri Sivasubramaniya Nadar College of Engineering,Kalavakkam,Tamil Nadu,46,55.01,2,commerce_arts,indian,4,2.62,6.56,0,0,1,0.916,2,0.627,0.342,0.632,13.79,27,0,0,0,0.0,1
B000084,Manasa Nanda,IR-E-U-0355,Indian Institute of Technology Bhubaneswar,Bhubaneswar,Odisha,54,52.54,2,btech_cse,indian,10,5.44,5.44,1,0,4,0.715,0,0.558,0.95,0.706,20.5,211,0,0,0,0.0,0
B000085,Mishti Joshi,IR-E-U-0334,Visvesvaraya National Institute of Technology Nagpur,Nagpur,Maharashtra,39,57.89,2,commerce_arts,indian,10,7.89,7.89,0,0,1,0.144,0,0.553,0.301,0.718,18.07,131,0,0,1,7.18,0
B000086,Faisal Mathew,IR-E-U-0055,National Institute of Technology Silchar,Silchar,Assam,40,57.6,2,btech_cse,indian,10,6.68,6.68,1,2,3,0.459,2,0.462,0.878,0.658,16.8,37,0,1,1,4.14,1
B000087,Karan Nair,IR-E-U-0555,Graphic Era University,Dehradun,Uttarakhand,52,52.96,2,core_engineering,foreign,4,3.03,7.58,0,2,3,0.731,3,0.448,0.496,0.68,9.1,195,0,1,1,7.51,0
B000088,Nanda Iyer,IR-E-U-0467,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,9,66.88,1,mba,foreign,4,3.12,7.8,0,3,3,0.615,4,0.431,0.593,0.711,13.75,149,1,1,1,11.54,0
B000089,Jaya Iyer,IR-E-U-0530,Motilal Nehru National Institute of Technology,Prayagraj,Uttar Pradesh,60,50.65,2,btech_cse,indian,10,7.18,7.18,0,0,0,0.58,0,0.472,0.804,0.804,8.11,187,0,0,1,7.37,0
B000090,Mohan Mazumdar,IR-E-U-0306,Indian Institute of Technology Bombay,Mumbai,Maharashtra,3,83.09,1,core_engineering,indian,10,6.81,6.81,2,0,0,0.579,1,0.804,0.298,0.748,21.72,112,0,0,1,9.41,0
B000091,Paras Mazumdar,IR-E-U-0467,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,9,66.88,1,btech_cse,foreign,4,3.66,9.16,0,2,5,0.659,3,0.331,0.534,0.888,12.66,73,1,1,1,14.62,0
B000092,Parag Bhatnagar,IR-E-U-0355,Indian Institute of Technology Bhubaneswar,Bhubaneswar,Odisha,54,52.54,2,btech_cse,indian,10,6.78,6.78,0,1,3,0.522,3,0.507,0.525,0.723,14.45,89,1,1,1,4.95,0
B000093,Lalit Hegde,IR-E-U-0410,Malaviya National Institute of Technology,Jaipur,Rajasthan,43,56.35,2,commerce_arts,indian,10,6.62,6.62,0,2,0,0.532,3,0.647,0.315,0.595,9.99,112,0,1,1,4.76,0
B000094,Karan Kulkarni,IR-E-U-0374,Dr B R Ambedkar National Institute of Technology Jalandhar,Jalandhar,Punjab,58,51.11,2,btech_cse,indian,10,7.97,7.97,0,0,4,0.499,1,0.52,0.77,0.857,22.56,38,1,1,1,6.68,1
B000095,Jatin Krishnan,IR-E-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,5,76.88,1,mba,indian,10,8.91,8.91,0,2,5,0.513,7,0.95,0.491,0.911,18.32,76,1,1,1,12.39,0
B000096,Naresh Namboodiri,IR-E-U-0530,Motilal Nehru National Institute of Technology,Prayagraj,Uttar Pradesh,60,50.65,2,btech_cse,foreign,4,2.85,7.13,0,1,4,0.531,0,0.527,0.732,0.787,13.21,163,0,1,1,7.58,0
B000097,Paras Mathur,IR-E-C-30045,C V Raman Global University Odisha,Bhubaneswar,Odisha,96,44.55,3,btech_cse,indian,4,3.12,7.8,0,0,4,0.86,3,0.545,0.453,0.712,5.08,30,1,1,1,6.79,1
B000098,Parisha Kumar,IR-E-U-0467,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,9,66.88,1,btech_cse,indian,10,7.86,7.86,0,2,0,0.355,4,0.532,0.867,0.868,16.22,199,1,1,1,11.28,0
B000099,Eshan Dixit,IR-E-U-0334,Visvesvaraya National Institute of Technology Nagpur,Nagpur,Maharashtra,39,57.89,2,mba,indian,10,6.13,6.13,1,2,1,0.632,4,0.498,0.588,0.891,15.1,35,0,0,1,8.03,0
B000100,Parth Bhat,IR-E-I-1075,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,4,82.79,1,core_engineering,indian,10,8.56,8.56,0,1,5,0.553,4,0.615,0.453,0.96,14.71,84,1,1,1,11.66,1
B000101,Akshay Khurana,IR-E-U-0202,Birla Institute of Technology,Ranchi,Jharkhand,48,54.18,2,mba,indian,10,6.65,6.65,0,1,2,0.756,3,0.407,0.666,0.698,18.1,191,0,1,1,8.74,0
B000102,Padma Mohan,IR-E-U-0584,Indian Institute of Engineering Science and Technology Shibpur,Howrah,West Bengal,49,54.17,2,commerce_arts,indian,10,7.6,7.6,0,0,1,0.801,1,0.538,0.249,0.548,14.58,78,0,1,1,3.86,0
B000103,Manoj Dutta,IR-E-U-0202,Birla Institute of Technology,Ranchi,Jharkhand,48,54.18,2,btech_cse,foreign,4,2.45,6.13,0,1,3,0.681,0,0.546,0.664,0.765,19.37,167,0,1,1,5.89,1
B000104,Karthik Singh,IR-E-C-30045,C V Raman Global University Odisha,Bhubaneswar,Odisha,96,44.55,3,btech_cse,indian,10,7.51,7.51,0,1,4,0.713,0,0.46,0.801,0.728,12.15,167,1,1,1,8.02,0
B000105,Manasa Nag,IR-E-U-0555,Graphic Era University,Dehradun,Uttarakhand,52,52.96,2,btech_cse,indian,10,7.34,7.34,0,1,1,1.0,3,0.564,0.95,0.713,12.02,140,0,1,1,6.94,0
B000106,Jaya Kapoor,IR-E-U-0621,National Institute of Technology Puducherry,Karaikal,Pondicherry,97,44.38,3,core_engineering,indian,4,3.27,8.17,0,0,0,0.613,0,0.23,0.455,0.493,4.92,76,0,1,1,3.56,0
B000107,Milind Reddy,IR-E-C-19754,SR University,Warangal,Telangana,98,44.29,3,commerce_arts,indian,10,7.35,7.35,2,1,0,0.281,0,0.279,0.42,0.556,10.46,171,0,0,0,0.0,1
B000108,Mohini Dutta,IR-E-U-0584,Indian Institute of Engineering Science and Technology Shibpur,Howrah,West Bengal,49,54.17,2,btech_cse,indian,10,6.19,6.19,0,0,2,0.283,2,0.392,0.645,0.758,14.92,41,1,1,1,8.53,1
B000109,Muneesh Khurana,IR-E-U-0584,Indian Institute of Engineering Science and Technology Shibpur,Howrah,West Bengal,49,54.17,2,mba,indian,10,7.14,7.14,0,1,1,0.62,1,0.466,0.628,0.798,7.04,204,1,1,1,8.7,0
B000110,Parisha Kapoor,IR-E-I-1441,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,53,52.85,2,btech_cse,indian,10,7.16,7.16,0,0,3,0.689,1,0.453,0.904,0.788,7.71,219,1,1,1,6.34,0
B000111,Parth Marwaha,IR-E-U-0373,Chitkara University,Rajpura,Punjab,94,44.82,3,mba,indian,10,5.75,5.75,2,0,0,0.504,0,0.376,0.547,0.701,17.87,93,0,0,0,0.0,1
B000112,Ishita Namboothiri,IR-E-U-0072,National Institute of Technology Patna,Patna,Bihar,55,52.28,2,core_engineering,indian,10,7.85,7.85,1,1,0,0.637,1,0.576,0.527,0.653,16.7,223,0,0,1,4.21,0
B000113,Nandini Jain,IR-E-C-7252,Manipal Institute of Technology,Manipal,Karnataka,56,52.12,2,btech_cse,indian,10,7.83,7.83,0,2,1,0.682,0,0.517,0.735,0.653,15.87,213,1,1,1,8.47,0
